dataset,task,canonical_stimulus_id,retained_n,n_unique_participants,low_count,high_count,empirical_high_probability,smoothed_high_probability,majority_agreement_fraction,conditional_entropy_bits,abs_distance_from_half
DEAP,arousal,deap_exp_01,32,32,10,22,0.6875,0.6818181818181818,0.6875,0.8960382325345574,0.1875
DEAP,arousal,deap_exp_02,32,32,5,27,0.84375,0.8333333333333334,0.84375,0.6252624052234231,0.34375
DEAP,arousal,deap_exp_03,31,31,7,24,0.7741935483870968,0.765625,0.7741935483870968,0.7706290693639406,0.27419354838709675
DEAP,arousal,deap_exp_04,32,32,6,26,0.8125,0.803030303030303,0.8125,0.6962122601251458,0.3125
DEAP,arousal,deap_exp_05,32,32,8,24,0.75,0.7424242424242424,0.75,0.8112781244591328,0.25
DEAP,arousal,deap_exp_06,32,32,10,22,0.6875,0.6818181818181818,0.6875,0.8960382325345574,0.1875
DEAP,arousal,deap_exp_07,32,32,10,22,0.6875,0.6818181818181818,0.6875,0.8960382325345574,0.1875
DEAP,arousal,deap_exp_08,29,29,10,19,0.6551724137931034,0.65,0.6551724137931034,0.9293636260137187,0.15517241379310343
DEAP,arousal,deap_exp_09,30,30,9,21,0.7,0.6935483870967742,0.7,0.8812908992306927,0.19999999999999996
DEAP,arousal,deap_exp_10,32,32,10,22,0.6875,0.6818181818181818,0.6875,0.8960382325345574,0.1875
DEAP,arousal,deap_exp_11,30,30,9,21,0.7,0.6935483870967742,0.7,0.8812908992306927,0.19999999999999996
DEAP,arousal,deap_exp_12,32,32,22,10,0.3125,0.3181818181818182,0.6875,0.8960382325345574,0.1875
DEAP,arousal,deap_exp_13,32,32,20,12,0.375,0.3787878787878788,0.625,0.954434002924965,0.125
DEAP,arousal,deap_exp_14,31,31,12,19,0.6129032258064516,0.609375,0.6129032258064516,0.9629004147713269,0.11290322580645162
DEAP,arousal,deap_exp_15,32,32,19,13,0.40625,0.4090909090909091,0.59375,0.9744894033980523,0.09375
DEAP,arousal,deap_exp_16,32,32,22,10,0.3125,0.3181818181818182,0.6875,0.8960382325345574,0.1875
DEAP,arousal,deap_exp_17,32,32,20,12,0.375,0.3787878787878788,0.625,0.954434002924965,0.125
DEAP,arousal,deap_exp_18,32,32,16,16,0.5,0.5,0.5,1.0,0.0
DEAP,arousal,deap_exp_19,32,32,7,25,0.78125,0.7727272727272727,0.78125,0.7578784625383954,0.28125
DEAP,arousal,deap_exp_20,32,32,11,21,0.65625,0.6515151515151515,0.65625,0.9283620723948676,0.15625
DEAP,arousal,deap_exp_21,31,31,20,11,0.3548387096774194,0.359375,0.6451612903225806,0.9383153522334069,0.14516129032258063
DEAP,arousal,deap_exp_22,32,32,24,8,0.25,0.25757575757575757,0.75,0.8112781244591328,0.25
DEAP,arousal,deap_exp_23,32,32,21,11,0.34375,0.3484848484848485,0.65625,0.9283620723948676,0.15625
DEAP,arousal,deap_exp_24,32,32,15,17,0.53125,0.5303030303030303,0.53125,0.9971803988942642,0.03125
DEAP,arousal,deap_exp_25,32,32,19,13,0.40625,0.4090909090909091,0.59375,0.9744894033980523,0.09375
DEAP,arousal,deap_exp_26,31,31,26,5,0.16129032258064516,0.171875,0.8387096774193549,0.6373874992221911,0.33870967741935487
DEAP,arousal,deap_exp_27,32,32,16,16,0.5,0.5,0.5,1.0,0.0
DEAP,arousal,deap_exp_28,31,31,25,6,0.1935483870967742,0.203125,0.8064516129032258,0.7088356733321961,0.3064516129032258
DEAP,arousal,deap_exp_29,31,31,16,15,0.4838709677419355,0.484375,0.5161290322580645,0.9992492479956565,0.016129032258064502
DEAP,arousal,deap_exp_30,32,32,12,20,0.625,0.6212121212121212,0.625,0.954434002924965,0.125
DEAP,arousal,deap_exp_31,31,31,9,22,0.7096774193548387,0.703125,0.7096774193548387,0.869137580612638,0.20967741935483875
DEAP,arousal,deap_exp_32,32,32,5,27,0.84375,0.8333333333333334,0.84375,0.6252624052234231,0.34375
DEAP,arousal,deap_exp_33,32,32,14,18,0.5625,0.5606060606060606,0.5625,0.9886994082884974,0.0625
DEAP,arousal,deap_exp_34,32,32,8,24,0.75,0.7424242424242424,0.75,0.8112781244591328,0.25
DEAP,arousal,deap_exp_35,32,32,8,24,0.75,0.7424242424242424,0.75,0.8112781244591328,0.25
DEAP,arousal,deap_exp_36,31,31,8,23,0.7419354838709677,0.734375,0.7419354838709677,0.8238116333123173,0.24193548387096775
DEAP,arousal,deap_exp_37,30,30,5,25,0.8333333333333334,0.8225806451612904,0.8333333333333334,0.6500224216483541,0.33333333333333337
DEAP,arousal,deap_exp_38,32,32,8,24,0.75,0.7424242424242424,0.75,0.8112781244591328,0.25
DEAP,arousal,deap_exp_39,32,32,10,22,0.6875,0.6818181818181818,0.6875,0.8960382325345574,0.1875
DEAP,arousal,deap_exp_40,32,32,14,18,0.5625,0.5606060606060606,0.5625,0.9886994082884974,0.0625
DEAP,valence,deap_exp_01,32,32,2,30,0.9375,0.9242424242424242,0.9375,0.3372900666170139,0.4375
DEAP,valence,deap_exp_02,32,32,5,27,0.84375,0.8333333333333334,0.84375,0.6252624052234231,0.34375
DEAP,valence,deap_exp_03,32,32,2,30,0.9375,0.9242424242424242,0.9375,0.3372900666170139,0.4375
DEAP,valence,deap_exp_04,31,31,2,29,0.9354838709677419,0.921875,0.9354838709677419,0.3451173149449531,0.4354838709677419
DEAP,valence,deap_exp_05,32,32,8,24,0.75,0.7424242424242424,0.75,0.8112781244591328,0.25
DEAP,valence,deap_exp_06,30,30,4,26,0.8666666666666667,0.8548387096774194,0.8666666666666667,0.5665095065529052,0.3666666666666667
DEAP,valence,deap_exp_07,32,32,7,25,0.78125,0.7727272727272727,0.78125,0.7578784625383954,0.28125
DEAP,valence,deap_exp_08,31,31,1,30,0.967741935483871,0.953125,0.967741935483871,0.20559250818508293,0.467741935483871
DEAP,valence,deap_exp_09,32,32,2,30,0.9375,0.9242424242424242,0.9375,0.3372900666170139,0.4375
DEAP,valence,deap_exp_10,32,32,16,16,0.5,0.5,0.5,1.0,0.0
DEAP,valence,deap_exp_11,32,32,2,30,0.9375,0.9242424242424242,0.9375,0.3372900666170139,0.4375
DEAP,valence,deap_exp_12,32,32,4,28,0.875,0.8636363636363636,0.875,0.5435644431995964,0.375
DEAP,valence,deap_exp_13,32,32,8,24,0.75,0.7424242424242424,0.75,0.8112781244591328,0.25
DEAP,valence,deap_exp_14,32,32,2,30,0.9375,0.9242424242424242,0.9375,0.3372900666170139,0.4375
DEAP,valence,deap_exp_15,31,31,4,27,0.8709677419354839,0.859375,0.8709677419354839,0.5547781633412736,0.3709677419354839
DEAP,valence,deap_exp_16,31,31,14,17,0.5483870967741935,0.546875,0.5483870967741935,0.9932338197397066,0.048387096774193505
DEAP,valence,deap_exp_17,32,32,9,23,0.71875,0.7121212121212122,0.71875,0.8571484374283715,0.21875
DEAP,valence,deap_exp_18,32,32,3,29,0.90625,0.8939393939393939,0.90625,0.4488644887230294,0.40625
DEAP,valence,deap_exp_19,32,32,2,30,0.9375,0.9242424242424242,0.9375,0.3372900666170139,0.4375
DEAP,valence,deap_exp_20,32,32,4,28,0.875,0.8636363636363636,0.875,0.5435644431995964,0.375
DEAP,valence,deap_exp_21,32,32,26,6,0.1875,0.19696969696969696,0.8125,0.6962122601251458,0.3125
DEAP,valence,deap_exp_22,31,31,19,12,0.3870967741935484,0.390625,0.6129032258064516,0.9629004147713269,0.11290322580645162
DEAP,valence,deap_exp_23,31,31,29,2,0.06451612903225806,0.078125,0.935483870967742,0.34511731494495285,0.43548387096774194
DEAP,valence,deap_exp_24,31,31,24,7,0.22580645161290322,0.234375,0.7741935483870968,0.7706290693639405,0.27419354838709675
DEAP,valence,deap_exp_25,32,32,22,10,0.3125,0.3181818181818182,0.6875,0.8960382325345574,0.1875
DEAP,valence,deap_exp_26,31,31,16,15,0.4838709677419355,0.484375,0.5161290322580645,0.9992492479956565,0.016129032258064502
DEAP,valence,deap_exp_27,31,31,9,22,0.7096774193548387,0.703125,0.7096774193548387,0.869137580612638,0.20967741935483875
DEAP,valence,deap_exp_28,32,32,16,16,0.5,0.5,0.5,1.0,0.0
DEAP,valence,deap_exp_29,32,32,26,6,0.1875,0.19696969696969696,0.8125,0.6962122601251458,0.3125
DEAP,valence,deap_exp_30,32,32,29,3,0.09375,0.10606060606060606,0.90625,0.4488644887230294,0.40625
DEAP,valence,deap_exp_31,31,31,24,7,0.22580645161290322,0.234375,0.7741935483870968,0.7706290693639405,0.27419354838709675
DEAP,valence,deap_exp_32,32,32,21,11,0.34375,0.3484848484848485,0.65625,0.9283620723948676,0.15625
DEAP,valence,deap_exp_33,31,31,23,8,0.25806451612903225,0.265625,0.7419354838709677,0.8238116333123173,0.24193548387096775
DEAP,valence,deap_exp_34,32,32,26,6,0.1875,0.19696969696969696,0.8125,0.6962122601251458,0.3125
DEAP,valence,deap_exp_35,32,32,27,5,0.15625,0.16666666666666666,0.84375,0.6252624052234231,0.34375
DEAP,valence,deap_exp_36,32,32,23,9,0.28125,0.2878787878787879,0.71875,0.8571484374283715,0.21875
DEAP,valence,deap_exp_37,32,32,28,4,0.125,0.13636363636363635,0.875,0.5435644431995964,0.375
DEAP,valence,deap_exp_38,32,32,30,2,0.0625,0.07575757575757576,0.9375,0.3372900666170139,0.4375
DEAP,valence,deap_exp_39,31,31,22,9,0.2903225806451613,0.296875,0.7096774193548387,0.869137580612638,0.2096774193548387
DEAP,valence,deap_exp_40,30,30,15,15,0.5,0.5,0.5,1.0,0.0
DEJAVU,arousal,"emostim,_filmstim_dangerous_minds",8,8,7,1,0.125,0.16666666666666666,0.875,0.5435644431995964,0.375
DEJAVU,arousal,emostim_28_days_later,8,8,2,6,0.75,0.7222222222222222,0.75,0.8112781244591328,0.25
DEJAVU,arousal,emostim_mr._bean,6,6,3,3,0.5,0.5,0.5,1.0,0.0
DEJAVU,arousal,emostim_my_girl,6,6,3,3,0.5,0.5,0.5,1.0,0.0
DEJAVU,arousal,emostim_the_shining,5,5,2,3,0.6,0.5833333333333334,0.6,0.9709505944546686,0.09999999999999998
DEJAVU,arousal,filmstim_fish_called_wanda,1,1,1,0,0.0,0.25,1.0,0.0,0.5
DEJAVU,arousal,filmstim_life_is_beautiful,2,2,2,0,0.0,0.16666666666666666,1.0,0.0,0.5
DEJAVU,arousal,filmstim_misery,7,7,1,6,0.8571428571428571,0.8125,0.8571428571428571,0.5916727785823275,0.3571428571428571
DEJAVU,arousal,filmstim_scream,4,4,1,3,0.75,0.7,0.75,0.8112781244591328,0.25
DEJAVU,arousal,filmstim_the_champ,5,5,2,3,0.6,0.5833333333333334,0.6,0.9709505944546686,0.09999999999999998
DEJAVU,arousal,filmstim_the_exorcist,1,1,1,0,0.0,0.25,1.0,0.0,0.5
DEJAVU,arousal,filmstim_the_shining_2,1,1,1,0,0.0,0.25,1.0,0.0,0.5
DEJAVU,arousal,filmstim_the_visitors,9,9,4,5,0.5555555555555556,0.55,0.5555555555555556,0.9910760598382222,0.05555555555555558
DEJAVU,arousal,filmstim_there_is_something_about_mary,3,3,2,1,0.3333333333333333,0.375,0.6666666666666667,0.9182958340544896,0.16666666666666669
DEJAVU,arousal,filmstim_when_harry_met_sally,5,5,1,4,0.8,0.75,0.8,0.7219280948873623,0.30000000000000004
DEJAVU,valence,"emostim,_filmstim_dangerous_minds",6,6,6,0,0.0,0.07142857142857142,1.0,0.0,0.5
DEJAVU,valence,emostim_28_days_later,7,7,5,2,0.2857142857142857,0.3125,0.7142857142857143,0.863120568566631,0.2142857142857143
DEJAVU,valence,emostim_mr._bean,8,8,0,8,1.0,0.9444444444444444,1.0,0.0,0.5
DEJAVU,valence,emostim_my_girl,7,7,7,0,0.0,0.0625,1.0,0.0,0.5
DEJAVU,valence,emostim_the_shining,4,4,4,0,0.0,0.1,1.0,0.0,0.5
DEJAVU,valence,filmstim_fish_called_wanda,1,1,1,0,0.0,0.25,1.0,0.0,0.5
DEJAVU,valence,filmstim_life_is_beautiful,2,2,2,0,0.0,0.16666666666666666,1.0,0.0,0.5
DEJAVU,valence,filmstim_misery,8,8,8,0,0.0,0.05555555555555555,1.0,0.0,0.5
DEJAVU,valence,filmstim_scream,5,5,4,1,0.2,0.25,0.8,0.7219280948873623,0.3
DEJAVU,valence,filmstim_the_champ,10,10,10,0,0.0,0.045454545454545456,1.0,0.0,0.5
DEJAVU,valence,filmstim_the_exorcist,1,1,1,0,0.0,0.25,1.0,0.0,0.5
DEJAVU,valence,filmstim_the_shining_2,1,1,1,0,0.0,0.25,1.0,0.0,0.5
DEJAVU,valence,filmstim_the_visitors,6,6,3,3,0.5,0.5,0.5,1.0,0.0
DEJAVU,valence,filmstim_there_is_something_about_mary,4,4,0,4,1.0,0.9,1.0,0.0,0.5
DEJAVU,valence,filmstim_there_is_something_about_mary_2,1,1,0,1,1.0,0.75,1.0,0.0,0.5
DEJAVU,valence,filmstim_when_harry_met_sally,4,4,1,3,0.75,0.7,0.75,0.8112781244591328,0.25
IDARE,arousal,idare_stim_1441,61,61,55,6,0.09836065573770492,0.10483870967741936,0.9016393442622951,0.4637773498877516,0.4016393442622951
IDARE,arousal,idare_stim_1750,59,59,49,10,0.1694915254237288,0.175,0.8305084745762712,0.6565402813869459,0.3305084745762712
IDARE,arousal,idare_stim_2314,55,55,44,11,0.2,0.20535714285714285,0.8,0.7219280948873623,0.3
IDARE,arousal,idare_stim_2491,54,54,47,7,0.12962962962962962,0.13636363636363635,0.8703703703703703,0.5564215672884281,0.37037037037037035
IDARE,arousal,idare_stim_3053,53,53,3,50,0.9433962264150944,0.9351851851851852,0.9433962264150944,0.3138129641688651,0.44339622641509435
IDARE,arousal,idare_stim_3063,57,57,6,51,0.8947368421052632,0.8879310344827587,0.8947368421052632,0.4854607607459134,0.39473684210526316
IDARE,arousal,idare_stim_3080,56,56,7,49,0.875,0.868421052631579,0.875,0.5435644431995964,0.375
IDARE,arousal,idare_stim_3170,54,54,9,45,0.8333333333333334,0.8272727272727273,0.8333333333333334,0.6500224216483541,0.33333333333333337
IDARE,arousal,idare_stim_4220,58,58,31,27,0.46551724137931033,0.4661016949152542,0.5344827586206897,0.9965663713274553,0.03448275862068967
IDARE,arousal,idare_stim_5760,63,63,59,4,0.06349206349206349,0.0703125,0.9365079365079365,0.3411538931451762,0.4365079365079365
IDARE,arousal,idare_stim_8080,56,56,29,27,0.48214285714285715,0.4824561403508772,0.5178571428571428,0.9990797181805819,0.01785714285714285
IDARE,arousal,idare_stim_8370,60,60,20,40,0.6666666666666666,0.6639344262295082,0.6666666666666666,0.9182958340544896,0.16666666666666663
IDARE,arousal,idare_stim_8492,61,61,20,41,0.6721311475409836,0.6693548387096774,0.6721311475409836,0.9127341558073343,0.17213114754098358
IDARE,arousal,idare_stim_9220,55,55,42,13,0.23636363636363636,0.24107142857142858,0.7636363636363637,0.7889406572966208,0.26363636363636367
IDARE,arousal,idare_stim_9331,49,49,39,10,0.20408163265306123,0.21,0.7959183673469388,0.7300166301457938,0.29591836734693877
IDARE,arousal,idare_stim_9360,52,52,39,13,0.25,0.25471698113207547,0.75,0.8112781244591328,0.25
