emg_file,exists,subject_col,trial_rows,status,subject_key,group_keys,data_shape,paper_expected_preprocessing,provenance_consistent_with_processed_emg
/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_01.mat,True,sbj_P_01,32,passed,sbj_P_01,Fs;channels;channels_type;channels_unit;data;event_begin;event_end;event_id;subject;time,2207651x2,notch_50_100Hz_and_bandpass_10_400Hz,True
/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_02.mat,True,sbj_P_02,32,passed,sbj_P_02,Fs;channels;channels_type;channels_unit;data;event_begin;event_end;event_id;subject;time,2111215x2,notch_50_100Hz_and_bandpass_10_400Hz,True
/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_03.mat,True,sbj_P_03,32,passed,sbj_P_03,Fs;channels;channels_type;channels_unit;data;event_begin;event_end;event_id;subject;time,1957081x2,notch_50_100Hz_and_bandpass_10_400Hz,True
/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_05.mat,True,sbj_P_05,32,passed,sbj_P_05,Fs;channels;channels_type;channels_unit;data;event_begin;event_end;event_id;subject;time,1829317x2,notch_50_100Hz_and_bandpass_10_400Hz,True
/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_06.mat,True,sbj_P_06,32,passed,sbj_P_06,Fs;channels;channels_type;channels_unit;data;event_begin;event_end;event_id;subject;time,1993387x2,notch_50_100Hz_and_bandpass_10_400Hz,True
/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_07.mat,True,sbj_P_07,32,passed,sbj_P_07,Fs;channels;channels_type;channels_unit;data;event_begin;event_end;event_id;subject;time,1888411x2,notch_50_100Hz_and_bandpass_10_400Hz,True
/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_08.mat,True,sbj_P_08,32,passed,sbj_P_08,Fs;channels;channels_type;channels_unit;data;event_begin;event_end;event_id;subject;time,1855857x2,notch_50_100Hz_and_bandpass_10_400Hz,True
/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_09.mat,True,sbj_P_09,32,passed,sbj_P_09,Fs;channels;channels_type;channels_unit;data;event_begin;event_end;event_id;subject;time,1910809x2,notch_50_100Hz_and_bandpass_10_400Hz,True
/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_10.mat,True,sbj_P_10,32,passed,sbj_P_10,Fs;channels;channels_type;channels_unit;data;event_begin;event_end;event_id;subject;time,1818305x2,notch_50_100Hz_and_bandpass_10_400Hz,True
/mnt/HDD/AliWorks/I-DARE/raw_downloads/EMG/sbj_P_11.mat,True,sbj_P_11,32,passed,sbj_P_11,Fs;channels;channels_type;channels_unit;data;event_begin;event_end;event_id;subject;time,1753709x2,notch_50_100Hz_and_bandpass_10_400Hz,True
