planned_run_id,model,modality,task,fold,target,authorized_now,requires_prior_objective,notes
1,mean_baseline_no_training,EEG,valence,1,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
2,mean_baseline_no_training,EEG,valence,2,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
3,mean_baseline_no_training,EEG,valence,3,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
4,mean_baseline_no_training,EEG,valence,4,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
5,mean_baseline_no_training,EEG,valence,5,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
6,mean_baseline_no_training,EEG,valence,6,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
7,mean_baseline_no_training,EEG,arousal,1,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
8,mean_baseline_no_training,EEG,arousal,2,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
9,mean_baseline_no_training,EEG,arousal,3,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
10,mean_baseline_no_training,EEG,arousal,4,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
11,mean_baseline_no_training,EEG,arousal,5,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
12,mean_baseline_no_training,EEG,arousal,6,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
13,mean_baseline_no_training,EMG,valence,1,subject_relative_ordinal_affect_regression_v1,no,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.
