inventory_id,source_path,proposed_target_path,proposed_manifest_provenance,copy_mode,review_required_before_execution
HIST001,build_commit_idare_broader_eval_report.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/builds/build_commit_idare_broader_eval_report.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST002,create_idare_broader_eval_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_broader_eval_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST003,create_idare_broader_eval_review_closeout.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_broader_eval_review_closeout.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST004,create_idare_calibration_protocol_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_calibration_protocol_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST005,create_idare_calibration_subject_generalization_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_calibration_subject_generalization_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST006,create_idare_cautious_subject_variability_supcon_dg_design_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_cautious_subject_variability_supcon_dg_design_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST007,create_idare_diagnostic_sanity_tests_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_diagnostic_sanity_tests_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST008,create_idare_failure_analysis_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_failure_analysis_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST009,create_idare_label_policy_ablation_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_policy_ablation_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST010,create_idare_label_policy_review_closeout.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_policy_review_closeout.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST011,create_idare_label_semantics_minimal_redesigned_task_failure_or_confirmation_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_semantics_minimal_redesigned_task_failure_or_confirmation_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST012,create_idare_label_semantics_minimal_redesigned_task_first_pass_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_semantics_minimal_redesigned_task_first_pass_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST013,create_idare_label_semantics_redesigned_task_smoke_guard_patch_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_semantics_redesigned_task_smoke_guard_patch_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST014,create_idare_label_semantics_redesigned_task_smoke_tests_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_semantics_redesigned_task_smoke_tests_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST015,create_idare_label_semantics_redesigned_task_spec_fix_or_stop_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_semantics_redesigned_task_spec_fix_or_stop_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST016,create_idare_label_semantics_redesigned_task_stop_archive_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_semantics_redesigned_task_stop_archive_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST017,create_idare_label_semantics_task_redesign_or_stop_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_semantics_task_redesign_or_stop_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST018,create_idare_label_semantics_task_redesign_spec_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_label_semantics_task_redesign_spec_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST019,create_idare_minimal_subject_relative_preprocessed_training_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_minimal_subject_relative_preprocessed_training_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST020,create_idare_minimal_subject_relative_training_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_minimal_subject_relative_training_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST021,create_idare_minimal_supcon_dg_first_pass_training_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_minimal_supcon_dg_first_pass_training_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST022,create_idare_representation_label_task_redesign_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_representation_label_task_redesign_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST023,create_idare_representation_or_label_semantics_failure_analysis_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_representation_or_label_semantics_failure_analysis_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST024,create_idare_root_cause_diagnostic_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_root_cause_diagnostic_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST025,create_idare_script_archival_and_reproducibility_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_script_archival_and_reproducibility_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST026,create_idare_subject_relative_representation_preprocessing_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_subject_relative_representation_preprocessing_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST027,create_idare_subject_relative_task_formulation_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_subject_relative_task_formulation_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST028,create_idare_subject_variability_intervention_failure_analysis_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_subject_variability_intervention_failure_analysis_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST029,create_idare_subject_variability_supcon_dg_design_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_subject_variability_supcon_dg_design_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST030,create_idare_subject_variability_supcon_dg_smoke_tests_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_subject_variability_supcon_dg_smoke_tests_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST031,create_idare_supcon_dg_failure_analysis_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_supcon_dg_failure_analysis_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST032,create_idare_supcon_dg_pair_sampler_failure_analysis_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_supcon_dg_pair_sampler_failure_analysis_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST033,create_idare_targeted_supcon_dg_pair_sampler_ablation_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_targeted_supcon_dg_pair_sampler_ablation_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST034,create_idare_targeted_supcon_dg_pair_sampler_objective.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/objectives/create_idare_targeted_supcon_dg_pair_sampler_objective.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST035,fix_and_rerun_idare_emg_b0.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/fixes/fix_and_rerun_idare_emg_b0.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST036,fix_idare_label_semantics_task_redesign_or_stop_objective_validation.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/fixes/fix_idare_label_semantics_task_redesign_or_stop_objective_validation.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST037,fix_idare_minimal_subject_relative_preprocessed_training_report.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/fixes/fix_idare_minimal_subject_relative_preprocessed_training_report.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST038,fix_idare_minimal_supcon_dg_first_pass_objective_validation.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/fixes/fix_idare_minimal_supcon_dg_first_pass_objective_validation.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST039,fix_idare_minimal_supcon_dg_first_pass_report.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/fixes/fix_idare_minimal_supcon_dg_first_pass_report.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST040,fix_idare_supcon_dg_pair_sampler_failure_analysis_report.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/fixes/fix_idare_supcon_dg_pair_sampler_failure_analysis_report.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
HIST041,fix_prepare_idare_emg_rerun.sh,scripts/idare/archive_or_reconstructed/from_downloads_bundle/fixes/fix_prepare_idare_emg_rerun.sh,user_uploaded_downloads_archive_original_if_sha_matches_archive,preserve_raw_script_no_rewrite,yes
