objective_run_id,planned_run_id,model,modality,task,fold,target,authorized_now,requires_prior_objective,notes,objective,selected_primary_formulation,training_category,blocked_from_expansion
1,1,mean_baseline_no_training,EEG,valence,1,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
2,2,mean_baseline_no_training,EEG,valence,2,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
3,3,mean_baseline_no_training,EEG,valence,3,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
4,4,mean_baseline_no_training,EEG,valence,4,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
5,5,mean_baseline_no_training,EEG,valence,5,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
6,6,mean_baseline_no_training,EEG,valence,6,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
7,7,mean_baseline_no_training,EEG,arousal,1,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
8,8,mean_baseline_no_training,EEG,arousal,2,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
9,9,mean_baseline_no_training,EEG,arousal,3,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
10,10,mean_baseline_no_training,EEG,arousal,4,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
11,11,mean_baseline_no_training,EEG,arousal,5,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
12,12,mean_baseline_no_training,EEG,arousal,6,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
13,13,mean_baseline_no_training,EMG,valence,1,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
14,14,mean_baseline_no_training,EMG,valence,2,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
15,15,mean_baseline_no_training,EMG,valence,3,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
16,16,mean_baseline_no_training,EMG,valence,4,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
17,17,mean_baseline_no_training,EMG,valence,5,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
18,18,mean_baseline_no_training,EMG,valence,6,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
19,19,mean_baseline_no_training,EMG,arousal,1,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
20,20,mean_baseline_no_training,EMG,arousal,2,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
21,21,mean_baseline_no_training,EMG,arousal,3,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
22,22,mean_baseline_no_training,EMG,arousal,4,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
23,23,mean_baseline_no_training,EMG,arousal,5,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
24,24,mean_baseline_no_training,EMG,arousal,6,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,no_training_control,yes
25,25,ridge_regression_summary_features,EEG,valence,1,subject_relative_ordinal_affect_regression_v1,yes_for_this_objective_only,label_semantics_redesigned_task_smoke_tests_objective,Minimal future run only; no SupCon/DG or broad search.,label_semantics_minimal_redesigned_task_first_pass_training,subject_relative_ordinal_affect_regression_v1,minimal_classical_regression_baseline,yes
