scheme,axis,entity_id,fold_index_0based,fold_index_1based
idare_4x4,stimulus,1441,2,3
idare_4x4,stimulus,1750,2,3
idare_4x4,stimulus,2314,3,4
idare_4x4,stimulus,2491,3,4
idare_4x4,stimulus,3053,2,3
idare_4x4,stimulus,3063,1,2
idare_4x4,stimulus,3080,3,4
idare_4x4,stimulus,3170,1,2
idare_4x4,stimulus,4220,1,2
idare_4x4,stimulus,5760,0,1
idare_4x4,stimulus,8080,2,3
idare_4x4,stimulus,8370,0,1
idare_4x4,stimulus,8492,3,4
idare_4x4,stimulus,9220,3,4
idare_4x4,stimulus,9331,1,2
idare_4x4,stimulus,9360,1,2
idare_4x4,stimulus,Angry_face_1,2,3
idare_4x4,stimulus,Beach_1,2,3
idare_4x4,stimulus,Depressed_pose_4,2,3
idare_4x4,stimulus,Dog_18,0,1
idare_4x4,stimulus,Dog_26,0,1
idare_4x4,stimulus,Dog_6,1,2
idare_4x4,stimulus,Dummy_1,3,4
idare_4x4,stimulus,Flowers_6,3,4
idare_4x4,stimulus,Garbage_dump_6,0,1
idare_4x4,stimulus,Lake_12,1,2
idare_4x4,stimulus,Lake_3,0,1
idare_4x4,stimulus,Miserable_pose_3,2,3
idare_4x4,stimulus,Pinecone_1,1,2
idare_4x4,stimulus,Snow_1,3,4
idare_4x4,stimulus,Tumor_1,0,1
idare_4x4,stimulus,Yarn_1,0,1
