scheme,axis,entity_id,fold_index_0based,fold_index_1based
idare_4x4,subject,1,1,2
idare_4x4,subject,10,3,4
idare_4x4,subject,11,2,3
idare_4x4,subject,12,3,4
idare_4x4,subject,13,2,3
idare_4x4,subject,14,3,4
idare_4x4,subject,15,2,3
idare_4x4,subject,16,0,1
idare_4x4,subject,17,1,2
idare_4x4,subject,18,2,3
idare_4x4,subject,19,1,2
idare_4x4,subject,2,2,3
idare_4x4,subject,20,1,2
idare_4x4,subject,21,0,1
idare_4x4,subject,22,1,2
idare_4x4,subject,23,3,4
idare_4x4,subject,24,0,1
idare_4x4,subject,25,2,3
idare_4x4,subject,26,3,4
idare_4x4,subject,27,1,2
idare_4x4,subject,28,2,3
idare_4x4,subject,29,0,1
idare_4x4,subject,3,1,2
idare_4x4,subject,30,3,4
idare_4x4,subject,31,2,3
idare_4x4,subject,32,0,1
idare_4x4,subject,33,0,1
idare_4x4,subject,34,3,4
idare_4x4,subject,35,3,4
idare_4x4,subject,36,2,3
idare_4x4,subject,37,0,1
idare_4x4,subject,38,1,2
idare_4x4,subject,39,0,1
idare_4x4,subject,40,0,1
idare_4x4,subject,41,2,3
idare_4x4,subject,42,3,4
idare_4x4,subject,43,1,2
idare_4x4,subject,44,0,1
idare_4x4,subject,45,2,3
idare_4x4,subject,46,3,4
idare_4x4,subject,47,1,2
idare_4x4,subject,48,1,2
idare_4x4,subject,49,3,4
idare_4x4,subject,5,2,3
idare_4x4,subject,50,0,1
idare_4x4,subject,52,0,1
idare_4x4,subject,53,2,3
idare_4x4,subject,54,0,1
idare_4x4,subject,55,1,2
idare_4x4,subject,56,3,4
idare_4x4,subject,57,2,3
idare_4x4,subject,58,0,1
idare_4x4,subject,59,0,1
idare_4x4,subject,6,1,2
idare_4x4,subject,60,3,4
idare_4x4,subject,61,2,3
idare_4x4,subject,62,0,1
idare_4x4,subject,63,1,2
idare_4x4,subject,64,2,3
idare_4x4,subject,65,3,4
idare_4x4,subject,7,1,2
idare_4x4,subject,8,1,2
idare_4x4,subject,9,3,4
