target,subject_id,residual_n,residual_mean,residual_std,residual_median,residual_q25,residual_q75,residual_iqr,residual_mad,residual_scaled_mad,residual_mean_abs,residual_median_abs,residual_q90_abs,residual_q95_abs,residual_skew,residual_kurtosis_excess,residual_outlier_rate_3mad,residual_positive_rate,residual_negative_rate
arousal,1,32,0.09979838709677412,1.8730758315387523,-0.3225806451612905,-1.278225806451613,1.1451612903225805,2.4233870967741935,1.2096774193548385,1.7934677419354834,1.5544354838709677,1.2338709677419357,2.8661290322580646,3.481451612903226,0.5508271924066737,-0.6279218410097442,0.0,0.4375,0.5625
arousal,2,32,2.2273185483870965,1.5829340702617387,2.1612903225806455,1.17741935483871,2.875,1.69758064516129,0.8629032258064515,1.279340322580645,2.326108870967742,2.1612903225806455,4.629032258064516,4.849193548387096,0.16882868859791555,-0.44888188730654655,0.0,0.90625,0.09375
arousal,3,32,-1.265625,1.353914241378173,-1.4435483870967742,-1.939516129032258,-0.9354838709677422,1.0040322580645158,0.4999999999999998,0.7412999999999996,1.645665322580645,1.4758064516129032,2.587096774193549,3.3370967741935473,0.3592161013222668,0.06577848571457157,0.1875,0.1875,0.8125
arousal,5,32,0.893649193548387,1.5102454224184472,0.7661290322580645,-0.13306451612903258,2.2056451612903225,2.338709677419355,1.2903225806451613,1.913032258064516,1.4047379032258065,1.25,2.8080645161290323,3.130645161290322,0.0714194749718953,-0.966374217663279,0.0,0.6875,0.3125
arousal,6,32,3.2752016129032255,1.790167901902087,3.524193548387097,2.084677419354839,4.705645161290322,2.620967741935483,1.370967741935484,2.0325967741935482,3.337701612903226,3.524193548387097,5.645161290322581,5.733064516129033,-0.35834020755092866,-0.5955008063934497,0.0,0.9375,0.0625
arousal,7,32,-1.0433467741935485,1.2461858921407156,-0.9112903225806452,-2.0766129032258065,-0.32258064516129037,1.754032258064516,1.008064516129032,1.4945564516129028,1.3487903225806452,1.2258064516129035,2.6419354838709683,2.7733870967741936,0.27374964231954013,-0.6922286272476517,0.0,0.1875,0.8125
arousal,8,32,-1.0115927419354838,1.630470033705313,-1.338709677419355,-2.004032258064516,-0.6612903225806452,1.3427419354838708,0.7338709677419353,1.0880370967741932,1.7182459677419355,1.5161290322580647,2.8612903225806456,3.256451612903226,0.9417888996078128,0.3146128205851313,0.09375,0.25,0.75
arousal,9,32,1.0524193548387095,1.898183074793325,0.7983870967741935,-0.30241935483870996,2.5120967741935485,2.8145161290322585,1.6209677419354838,2.403246774193548,1.6965725806451613,1.282258064516129,3.543548387096775,4.0895161290322575,0.4451895745644647,-0.5302251562682887,0.0,0.6875,0.3125
arousal,10,32,-0.12247983870967742,1.7129972872947774,-0.24193548387096775,-1.459677419354839,1.0362903225806448,2.495967741935484,1.3306451612903223,1.9728145161290318,1.4380040322580645,1.2983870967741937,2.67258064516129,2.9782258064516123,0.17894116671007568,-0.7632943237314094,0.0,0.46875,0.53125
arousal,11,32,0.703125,1.9006477694544373,0.5080645161290323,-1.112903225806452,2.4516129032258065,3.5645161290322585,1.7661290322580647,2.6184629032258067,1.6718749999999998,1.403225806451613,3.080645161290323,3.8951612903225805,0.33497853405074596,-1.0073159159672487,0.0,0.625,0.375
arousal,12,32,0.5126008064516129,1.2274284576871453,0.42741935483870974,-0.22580645161290303,1.625,1.850806451612903,0.8306451612903225,1.2315145161290322,1.0922379032258065,0.935483870967742,2.1838709677419357,2.2419354838709675,-0.4191111678001258,-0.49435706572004534,0.0,0.6875,0.3125
arousal,13,32,-1.9642137096774195,1.4088788982214433,-1.943548387096774,-2.620967741935484,-1.241935483870968,1.379032258064516,0.6935483870967742,1.0282548387096775,2.081149193548387,1.943548387096774,3.820967741935485,4.3354838709677415,-0.0928853280580553,-0.1625029639624005,0.03125,0.125,0.875
arousal,14,32,-1.5831653225806452,0.8494495885699882,-1.4596774193548387,-1.9919354838709677,-1.1693548387096773,0.8225806451612905,0.4274193548387095,0.6336919354838707,1.610383064516129,1.4596774193548387,2.8629032258064524,2.982258064516129,0.04141947316244046,-0.1885643915429145,0.0,0.03125,0.96875
arousal,15,32,-0.5035282258064515,1.6186477056527646,-0.8225806451612905,-1.6169354838709675,0.2499999999999999,1.8669354838709675,0.8709677419354838,1.2912967741935482,1.4349798387096775,1.4112903225806452,2.3693548387096777,2.895967741935484,0.8775771333275497,0.46566283200167824,0.03125,0.28125,0.71875
arousal,16,32,-0.2494959677419355,1.371204820434612,-0.2661290322580645,-1.0080645161290323,0.6854838709677418,1.693548387096774,0.8629032258064515,1.279340322580645,1.1154233870967742,0.9596774193548387,2.2,2.4161290322580644,-0.13757741630727321,0.120116586093999,0.0,0.34375,0.65625
arousal,17,32,-0.5987903225806452,1.3129056407007988,-0.39516129032258074,-1.629032258064516,0.3024193548387095,1.9314516129032255,1.1532258064516128,1.709772580645161,1.1703629032258065,1.1370967741935483,2.503225806451613,2.6201612903225806,-0.0588617431374516,-0.9921712615176501,0.0,0.28125,0.71875
