target,quantile,abs_residual_threshold,block,model,n,subjects,stimulus_residual_rmse_on_subset,model_score_rmse_on_subset,model_residual_rmse_on_subset,lift_vs_zero_residual_rmse,residual_pearson,residual_spearman,residual_sign_acc,pred_residual_std,true_residual_std,rmse_wins,rmse_losses,rmse_ties,rmse_win_margin,mean_delta_rmse_model_minus_stimulus,median_delta_rmse_model_minus_stimulus,worst_regression_delta_rmse,best_gain_delta_rmse,passes_high_disagreement_gate
arousal,0.5,1.4274193548387095,eeg_entropy_complexity,physio_eeg_entropy_complexity_ridge,1008,63,2.6227193918225558,2.584391607890404,2.586906560291675,0.03581283153088055,0.17156930305796317,0.17468336879742033,0.5922619047619048,0.5590464370159683,2.62047998455509,38,25,0,13,-0.044373093940512975,-0.044218151441143494,0.41765347585498436,-0.7956326095094624,True
arousal,0.5,1.4274193548387095,eeg_bandpower,physio_eeg_bandpower_ridge,1008,63,2.6227193918225558,2.5877983261224826,2.588825024401078,0.03389436742147778,0.1729982078478187,0.16891750510949566,0.5486111111111112,0.6162033260644116,2.62047998455509,33,30,0,3,-0.039438812902246115,-0.030147266890877766,0.4972119233712651,-0.8771157318091769,True
arousal,0.5,1.4274193548387095,eeg_directed_connectivity_experimental,physio_eeg_directed_connectivity_experimental_ridge,1008,63,2.6227193918225558,2.6176218828850066,2.6176218828850066,0.005097508937549122,0.09283572412295828,0.07694294155351636,0.5267857142857143,0.4287723086125591,2.62047998455509,30,33,0,-3,-0.00362637244879175,0.00946659427749319,0.38940992887265446,-0.7227240993032384,False
arousal,0.5,1.4274193548387095,none,stimulus_only,1008,63,2.6227193918225558,2.6227193918225558,2.6227193918225558,0.0,,,0.0,0.0,2.62047998455509,0,0,63,0,0.0,0.0,0.0,0.0,False
arousal,0.5,1.4274193548387095,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,1008,63,2.6227193918225558,2.631348632388533,2.631348632388533,-0.008629240565977359,-0.040766868064131066,0.015139139715949629,0.5337301587301587,0.12974414140291193,2.62047998455509,31,32,0,-1,0.006029655217513239,0.0005943931780252321,0.24183849963384185,-0.11392055360524544,False
arousal,0.5,1.4274193548387095,eeg_cov_riemannian,physio_eeg_cov_riemannian_ridge,1008,63,2.6227193918225558,2.643434593313644,2.6446873318128974,-0.021967939990341634,0.08935000878315609,0.0708816106817252,0.5208333333333334,0.6318592013826287,2.62047998455509,30,33,0,-3,0.012110351327028557,0.03169997129549795,0.6944793626855661,-0.7430277959653246,False
arousal,0.5,1.4274193548387095,emg_bsl_stats_22,physio_emg_bsl_stats_22_ridge,1008,63,2.6227193918225558,2.6313576903485916,4.215240536519026,-1.5925211446964704,0.05302030861340452,-0.07386711235028319,0.48313492063492064,3.4364239099454457,2.62047998455509,28,35,0,-7,0.3320797164187904,0.006768416915521769,20.475930695043925,-0.22721598952740152,False
arousal,0.5,1.4274193548387095,emg_existing_22,physio_emg_existing_22_ridge,1008,63,2.6227193918225558,2.6394582296969054,4.717146509548635,-2.094427117726079,0.021993753794770084,-0.04496806060860984,0.4781746031746032,3.9803644803818816,2.62047998455509,28,35,0,-7,0.5031759895243635,0.004071631855426805,31.261255435287623,-0.1505953098055628,False
arousal,0.5,1.4274193548387095,emg_expanded_812,physio_emg_expanded_812_ridge,1008,63,2.6227193918225558,2.682367207512526,287207.07741280214,-287204.4546934103,0.04172193264057963,0.0028834152078859756,0.5059523809523809,286784.99716406065,2.62047998455509,22,41,0,-19,38706.95305632556,0.042882131727013384,2437030.2077411045,-0.4113682785823287,False
arousal,0.75,2.2096774193548385,eeg_bandpower,physio_eeg_bandpower_ridge,508,63,3.24013921212341,3.167853521263549,3.168414411105795,0.07172480101761503,0.21297239622809686,0.1827904434147831,0.5570866141732284,0.589504812524933,3.2158781913511567,35,28,0,7,-0.09958803303877056,-0.02077259111433971,0.5652863815604792,-1.794631726115228,True
