method,gaussian_std,best_epoch,best_val_loss,fit_n,val_n,test_n,final_train_loss,final_val_loss,fold,subject_id,n_high,zero_rmse_high,model_rmse_high,fixed_rmse_high,pearson_high,sign_acc_high
neural_noaug_anchor,0.0,2,1.1761633555094402,1760,224,32,1.0883701380930448,1.1761633555094402,1,1,9,3.054269790649414,3.1959900856018066,2.896538496017456,-0.6332936360612164,0.3333333333333333
neural_noaug_anchor,0.0,2,1.2796727418899536,1760,224,32,1.0792168221975629,1.2796727418899536,2,2,15,3.6806721687316895,3.639749050140381,3.344510078430176,0.287901522620535,0.6666666666666666
neural_noaug_anchor,0.0,2,1.3382810354232788,1760,224,32,1.0931086257884377,1.3382810354232788,3,3,6,3.108191967010498,3.0265283584594727,1.0820444822311401,0.4017843974538692,0.8333333333333334
neural_noaug_anchor,0.0,1,1.3506381511688232,1760,224,32,1.0893583736921613,1.384257396062215,4,5,8,2.909100294113159,2.9065604209899902,2.222773790359497,0.06543430550217398,0.75
neural_noaug_anchor,0.0,1,1.3884553114573162,1760,224,32,1.0293564357255633,1.3972863753636677,5,6,22,4.379451274871826,4.368895053863525,4.571984767913818,0.19853010155258022,0.5
neural_noaug_anchor,0.0,1,1.0491583347320557,1760,224,32,1.1160342975666648,1.069210171699524,6,7,7,2.6614577770233154,2.5703649520874023,2.576738119125366,-0.18902102183427938,1.0
neural_gaussian_0p10_anchor,0.1,2,1.1029084126154582,1760,224,32,1.0871771856358177,1.1029084126154582,1,1,9,3.054269790649414,3.0119545459747314,2.896538496017456,0.3100546229602988,0.6666666666666666
neural_gaussian_0p10_anchor,0.1,1,1.277767837047577,1760,224,32,1.070199009619261,1.2928481896718342,2,2,15,3.6806721687316895,3.7096941471099854,3.344510078430176,-0.04797494600878427,0.2
neural_gaussian_0p10_anchor,0.1,2,1.2510801951090496,1760,224,32,1.0983084848052578,1.2510801951090496,3,3,6,3.108191967010498,2.9285082817077637,1.0820444822311401,-0.0794083736759248,0.6666666666666666
neural_gaussian_0p10_anchor,0.1,1,1.0279702544212341,1760,224,32,1.1244718338313855,1.0393426815668743,4,5,8,2.909100294113159,2.8731184005737305,2.222773790359497,-0.1976838447145101,0.75
neural_gaussian_0p10_anchor,0.1,1,0.8382081985473633,1760,224,32,1.09741011732503,0.8578261534372965,5,6,22,4.379451274871826,4.499082565307617,4.571984767913818,0.12820113223603927,0.0
neural_gaussian_0p10_anchor,0.1,2,1.0818914969762166,1760,224,32,1.1104353540822078,1.0818914969762166,6,7,7,2.6614577770233154,2.6459243297576904,2.576738119125366,-0.27486048101389265,0.7142857142857143
