target,block,model,n,rmse,lift_vs_stimulus_rmse,dev_rmse,lift_vs_stimulus_dev_rmse,dev_pearson,dev_sign_acc,pred_dev_std,true_dev_std,rmse_wins,rmse_losses,rmse_win_margin,mean_delta_rmse_model_minus_stimulus,worst_regression_delta_rmse,best_gain_delta_rmse,passes_direct_deviation_gate
arousal,eeg_entropy_complexity,physio_eeg_entropy_complexity_ridge,2016,1.946367855861422,-0.002162873744826,1.9485175118232667,-0.0043125297066706,0.1317467268746114,0.5615079365079365,0.5429364671808452,1.944204982116596,31,32,-1,-0.0013799214702181,0.4782462827939997,-0.6368568522914473,False
arousal,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,2016,1.9540013901575088,-0.0097964080409127,1.9540013901575088,-0.0097964080409127,-0.0440718277369348,0.5143849206349206,0.1276928505332191,1.944204982116596,28,35,-7,0.0100115823018513,0.2177050222163326,-0.0758520455679021,False
arousal,eeg_bandpower,physio_eeg_bandpower_ridge,2016,1.961104332506737,-0.0168993503901409,1.96244355736588,-0.0182385752492835,0.1254663304717308,0.5277777777777778,0.6054249476481015,1.944204982116596,28,35,-7,0.0160945059943476,0.6513269303656426,-0.6703902882165889,False
arousal,eeg_directed_connectivity_experimental,physio_eeg_directed_connectivity_experimental_ridge,2016,1.9658826070834112,-0.0216776249668151,1.9663756309576648,-0.0221706488410686,0.0651701548401878,0.5188492063492064,0.4465001360179387,1.944204982116596,24,39,-15,0.0248704978786549,0.3784901521228547,-0.1651186953684507,False
arousal,eeg_cov_riemannian,physio_eeg_cov_riemannian_ridge,2016,1.999370085359769,-0.0551651032431725,2.0030284901775666,-0.0588235080609704,0.0667696785930571,0.5148809523809523,0.6284229856835406,1.944204982116596,24,39,-15,0.0514837232267731,0.7707694393563898,-0.470090807853553,False
arousal,emg_bsl_stats_22,physio_emg_bsl_stats_22_ridge,2016,1.9524919414034765,-0.0082869592868801,3.038803962799144,-1.094598980682548,0.0498133566691429,0.5104166666666666,2.4335781532417835,1.944204982116596,32,31,1,0.0070767704468267,0.2560485505505905,-0.1322707096156108,False
arousal,emg_existing_22,physio_emg_existing_22_ridge,2016,1.9618606315947305,-0.0176556494781341,3.393353589992773,-1.449148607876177,0.0221471273619853,0.4930555555555556,2.824193320347788,1.944204982116596,26,37,-11,0.0174158915089046,0.252239239832543,-0.0926867011684025,False
arousal,emg_expanded_812,physio_emg_expanded_812_ridge,2016,2.0469107383556744,-0.1027057562390783,485887.2715143047,-485885.32730932254,0.014011982496978,0.503968253968254,484700.6028453848,1.944204982116596,19,44,-25,0.0994810962970779,1.7308521411960789,-0.1670153928242634,False
valence,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,2016,1.2591521569008588,-0.0013784622270007,1.2591521569008588,-0.0013784622270007,0.0022037975299574,0.4816468253968254,0.0617382730553591,1.257773694673858,29,34,-5,0.0011830920550664,0.0313847214348335,-0.0387327231313714,False
valence,eeg_entropy_complexity,physio_eeg_entropy_complexity_ridge,2016,1.278739365966272,-0.020965671292414,1.2787530351121683,-0.0209793404383105,-0.0096486515318048,0.5109126984126984,0.2188238870770036,1.257773694673858,24,39,-15,0.021402542004336,0.2372279891425266,-0.1025711101024726,False
valence,eeg_directed_connectivity_experimental,physio_eeg_directed_connectivity_experimental_ridge,2016,1.2820152968304432,-0.0242416021565852,1.282021363726977,-0.024247669053119,-0.0426129533007703,0.4965277777777778,0.2001548529200567,1.257773694673858,23,40,-17,0.0234983122021912,0.4185474194117131,-0.0994809366475426,False
valence,eeg_bandpower,physio_eeg_bandpower_ridge,2016,1.2913515947270813,-0.0335779000532232,1.291436442406064,-0.033662747732206,-0.0348173763744119,0.4965277777777778,0.2522197578639766,1.257773694673858,23,40,-17,0.0339602691648124,0.4820593251683804,-0.1005340610098706,False
valence,eeg_cov_riemannian,physio_eeg_cov_riemannian_ridge,2016,1.3174330779301284,-0.0596593832562704,1.3226408131355183,-0.0648671184616602,-0.0222117484581996,0.5024801587301587,0.3820657403526528,1.257773694673858,19,44,-25,0.0496615515244761,1.236304238606266,-0.3082459582550538,False
valence,emg_bsl_stats_22,physio_emg_bsl_stats_22_ridge,2016,1.263147610785086,-0.005373916111228,1.8399759271312892,-0.5822022324574314,-0.02151107247212,0.4776785714285714,1.315831231525879,1.257773694673858,25,38,-13,0.0046784989820032,0.1678103690026557,-0.037329028741236,False
valence,emg_existing_22,physio_emg_existing_22_ridge,2016,1.2591848084226458,-0.0014111137487877,3.279431250740726,-2.0216575560668684,0.0510498341774057,0.496031746031746,3.0927507599443165,1.257773694673858,25,38,-13,0.0009555994761363,0.0465814959242385,-0.097167790477221,False
valence,emg_expanded_812,physio_emg_expanded_812_ridge,2016,1.330907052350724,-0.073133357676866,39226.48044113862,-39225.22266744394,-0.0133325096151801,0.4955357142857143,39125.690207134125,1.257773694673858,21,42,-21,0.0529292065683703,1.8911884531387924,-0.0861138845889362,False
