index_path,npy_path,rows_match,rows,npy_shape,subject_col,stimulus_col,unique_subjects_sample,unique_stimuli_sample,duplicate_subject_stimulus_pairs_sample,time_policy_cols
.cache/idare_raw_emg_cache_index.csv,.cache/idare_eeg_windows_32x640_float32.npy,True,2016,"[2016, 32, 640]",subject_id,stimulus_id,63,32,0,"stimulus_id, emg_end_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_window_mean_after_preprocess, diag_window_std_after_preprocess"
.cache/idare_raw_emg_cache_index.csv,.cache/idare_eeg_windows_32x640_float32_baseline_corrected.npy,True,2016,"[2016, 32, 640]",subject_id,stimulus_id,63,32,0,"stimulus_id, emg_end_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_window_mean_after_preprocess, diag_window_std_after_preprocess"
.cache/idare_raw_emg_cache_index.csv,.cache/idare_raw_emg_windows_2x10000_float32.npy,True,2016,"[2016, 2, 10000]",subject_id,stimulus_id,63,32,0,"stimulus_id, emg_end_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_window_mean_after_preprocess, diag_window_std_after_preprocess"
.cache/idare_raw_emg_cache_index.csv,.cache/idare_emg_features.npy,True,2016,"[2016, 22]",subject_id,stimulus_id,63,32,0,"stimulus_id, emg_end_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_window_mean_after_preprocess, diag_window_std_after_preprocess"
.cache/idare_raw_emg_cache_index.csv,.cache/roca_idare_emg_expanded_features.npy,True,2016,"[2016, 812]",subject_id,stimulus_id,63,32,0,"stimulus_id, emg_end_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_window_mean_after_preprocess, diag_window_std_after_preprocess"
.cache/idare_raw_emg_cache_index.csv,.cache/idare_emg_features_smoke.npy,True,2016,"[2016, 22]",subject_id,stimulus_id,63,32,0,"stimulus_id, emg_end_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_window_mean_after_preprocess, diag_window_std_after_preprocess"
.cache/idare_raw_emg_cache_index.csv,.cache/idare_eeg_bsl_stats.npy,True,2016,"[2016, 229]",subject_id,stimulus_id,63,32,0,"stimulus_id, emg_end_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_window_mean_after_preprocess, diag_window_std_after_preprocess"
.cache/idare_raw_emg_cache_index.csv,.cache/idare_emg_bsl_stats.npy,True,2016,"[2016, 22]",subject_id,stimulus_id,63,32,0,"stimulus_id, emg_end_raw, fixed_window_samples, stim_event_duration_samples, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean, diag_window_mean_after_preprocess, diag_window_std_after_preprocess"
.cache/idare_eeg_cache_index_baseline_corrected_smoke.csv,.cache/idare_eeg_windows_32x640_float32_baseline_corrected_smoke.npy,True,64,"[64, 32, 640]",subject_id,stimulus_id,2,32,0,"stimulus_id, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean"
.cache/idare_eeg_cache_index_baseline_corrected_smoke.csv,.cache/idare_raw_emg_windows_2x10000_float32_smoke.npy,True,64,"[64, 2, 10000]",subject_id,stimulus_id,2,32,0,"stimulus_id, baseline_correction, diag_baseline_mean_global, diag_baseline_mean_abs_mean"
