target,quantile,feature_block,model,gamma_physio_blend,n,subjects,locked_rmse,candidate_rmse,lift_vs_locked_rmse,locked_residual_rmse,candidate_residual_rmse,lift_vs_locked_residual_rmse,residual_pearson,mean_subject_improvement_locked_minus_candidate,median_subject_improvement_locked_minus_candidate,ci95_low_mean_subject_improvement,ci95_high_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,passes_bridge_gate,abs_residual_threshold,source_05ajb_passed
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.0,25250,63,2.622267149339945,2.622267149339945,0.0,2.622267149339945,2.622267149339945,0.0,0.6707333035594739,0.0,0.0,0.0,0.0,1.0,0,0,63,0,False,2.2096774193548385,True
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.05,25250,63,2.622267149339945,2.640183239934327,-0.017916090594381817,2.622267149339945,2.640183239934327,-0.017916090594381817,0.6726239170576236,-0.016339422620047356,-0.007566761011484235,-0.023812454982692965,-0.009501996079861541,1.0,18,45,0,-27,False,2.2096774193548385,True
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,25250,63,2.622267149339945,2.6592373725173903,-0.03697022317744514,2.622267149339945,2.6592373725173903,-0.03697022317744514,0.6741349681124285,-0.03316651445056278,-0.016891169154238383,-0.04783392385587061,-0.019441276293264788,1.0,18,45,0,-27,False,2.2096774193548385,True
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,25250,63,2.622267149339945,2.7006619752276544,-0.07839482588770919,2.622267149339945,2.7006619752276544,-0.07839482588770919,0.6753748949910089,-0.06819754603653491,-0.03443123557434502,-0.09759808287675066,-0.04030384074694513,1.0,17,46,0,-29,False,2.2096774193548385,True
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,25250,63,2.622267149339945,2.77070795895463,-0.14844080961468498,2.622267149339945,2.77070795895463,-0.14844080961468498,0.6688985238712888,-0.12393008745679222,-0.06192524762947338,-0.17656275602351826,-0.07549232394611066,1.0,17,46,0,-29,False,2.2096774193548385,True
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,25250,63,2.622267149339945,2.8496157650729175,-0.22734861573297227,2.622267149339945,2.8496157650729175,-0.22734861573297227,0.6416343035056793,-0.18316981059400758,-0.09745199046544606,-0.2604858369486125,-0.11381347079260852,1.0,16,47,0,-31,False,2.2096774193548385,True
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.75,25250,63,2.622267149339945,2.9988868269058373,-0.3766196775658921,2.622267149339945,2.9988868269058373,-0.3766196775658921,0.49677288219154553,-0.28898718662518985,-0.15135554528631534,-0.4044266645668399,-0.18499611705843982,1.0,15,48,0,-33,False,2.2096774193548385,True
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,1.0,25250,63,2.622267149339945,3.1675964892385773,-0.5453293398986321,2.622267149339945,3.1675964892385773,-0.5453293398986321,0.21571317955418248,-0.40288694057880503,-0.21004809745584696,-0.5562978518127267,-0.26151664685238496,1.0,14,49,0,-35,False,2.2096774193548385,True
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.0,25314,63,1.9297690086492687,1.9297690086492687,0.0,1.9297690086492687,1.9297690086492687,0.0,0.4715494702373676,0.0,0.0,0.0,0.0,1.0,0,0,63,0,False,1.435483870967742,False
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.05,25314,63,1.9297690086492687,1.9362715495243759,-0.0065025408751071545,1.9297690086492687,1.9362715495243759,-0.0065025408751071545,0.4718055324509225,-0.007784143539018054,-0.006406698010391176,-0.010405259775854069,-0.005274947050652959,1.0,16,47,0,-31,False,1.435483870967742,False
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.1,25314,63,1.9297690086492687,1.9431092290674061,-0.013340220418137427,1.9297690086492687,1.9431092290674061,-0.013340220418137427,0.47206550150343035,-0.01579920581616273,-0.012982923175949512,-0.021053681671674006,-0.010716564319338371,1.0,16,47,0,-31,False,1.435483870967742,False
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.2,25314,63,1.9297690086492687,1.9577757861335643,-0.028006777484295586,1.9297690086492687,1.9577757861335645,-0.02800677748429581,0.47257931508926593,-0.032502385281689056,-0.02663629206160345,-0.043225938847916014,-0.022459852468432878,1.0,15,48,0,-33,False,1.435483870967742,False
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.35,25314,63,1.9297690086492687,1.9821973732602307,-0.05242836461096201,1.9297690086492687,1.9821973732602307,-0.05242836461096201,0.4731813939481076,-0.059169546434048065,-0.04833945274042173,-0.07774395643241847,-0.040821149670129404,1.0,15,48,0,-33,False,1.435483870967742,False
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.5,25314,63,1.9297690086492687,2.009429945746832,-0.07966093709756317,1.9297690086492687,2.009429945746832,-0.07966093709756317,0.4728561720657905,-0.08766641234008028,-0.07146293557953665,-0.11496709574131649,-0.062136079417254755,1.0,15,48,0,-33,False,1.435483870967742,False
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.75,25314,63,1.9297690086492687,2.0607563394877966,-0.13098733083852787,1.9297690086492687,2.0607563394877966,-0.13098733083852787,0.4553346542072798,-0.13893562404120088,-0.11742205877361345,-0.18050776849846187,-0.0993829232622073,1.0,15,48,0,-33,False,1.435483870967742,False
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,1.0,25314,63,1.9297690086492687,2.119031989020115,-0.1892629803708461,1.9297690086492687,2.119031989020115,-0.1892629803708461,0.04606044810875899,-0.19454053506441604,-0.17093653149932364,-0.2498733861540258,-0.14263417241267318,1.0,14,49,0,-35,False,1.435483870967742,False
