target,quantile,feature_block,model,subject_id,baseline_residual_rmse,model_residual_rmse,improvement_baseline_minus_model,delta_rmse_model_minus_baseline
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,34,2.3030465880094124,2.413169959245483,-0.11012337123607052,0.11012337123607052
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,21,3.0296230829880453,3.139445107899271,-0.10982202491122584,0.10982202491122584
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,22,3.0969141993441154,3.194804145215014,-0.09788994587089883,0.09788994587089883
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,19,3.1007945080426795,3.1964789439898604,-0.0956844359471809,0.0956844359471809
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,25,3.5687587265633103,3.646450288401033,-0.07769156183772274,0.07769156183772274
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,15,3.007811543457691,3.0765937386730395,-0.06878219521534845,0.06878219521534845
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,24,2.2763202136079914,2.328400274144077,-0.052080060536085604,0.052080060536085604
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,54,2.668103274889568,2.7191877884462214,-0.051084513556653555,0.051084513556653555
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,39,3.051462009499944,3.090904523074334,-0.039442513574390325,0.039442513574390325
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,52,3.337034019273049,3.37547262388591,-0.03843860461286086,0.03843860461286086
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,44,3.665941340298544,3.695126652751228,-0.029185312452683743,0.029185312452683743
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,7,2.661457891666245,2.685593899952458,-0.024136008286212984,0.024136008286212984
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,47,3.523931629971603,3.5476935640136036,-0.023761934042000554,0.023761934042000554
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,57,3.4479723204956825,3.447019287028911,0.0009530334667715579,-0.0009530334667715579
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,12,2.313940020466014,2.3099975842873306,0.003942436178683284,-0.003942436178683284
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,20,3.0205246562064847,3.0113134939274984,0.009211162278986329,-0.009211162278986329
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,63,3.156342133584165,3.1355695424698253,0.02077259111433971,-0.02077259111433971
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,10,2.8355134918213976,2.789545328119362,0.045968163702035714,-0.045968163702035714
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,60,3.364229198692733,3.3086403039591863,0.05558889473354656,-0.05558889473354656
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,26,2.9441278102436135,2.8808483609922386,0.06327944925137485,-0.06327944925137485
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,55,3.095671426635221,3.029368410659414,0.06630301597580734,-0.06630301597580734
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,58,2.9292471855207736,2.85002670734832,0.07922047817245348,-0.07922047817245348
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,64,3.751967919296454,3.671561134593123,0.08040678470333118,-0.08040678470333118
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,31,3.312745930483647,3.2122248571662193,0.10052107331742777,-0.10052107331742777
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,48,2.7659605265456344,2.6571063964845054,0.10885413006112898,-0.10885413006112898
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,23,2.6671489765011622,2.50467475507435,0.16247422142681245,-0.16247422142681245
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,38,2.6995394065069838,2.536446821258701,0.16309258524828296,-0.16309258524828296
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,1,3.054269797486409,2.8844943486063777,0.16977544888003138,-0.16977544888003138
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,27,2.982589088207541,2.782250993812693,0.2003380943948483,-0.2003380943948483
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,35,3.0611186599954467,2.852716607151051,0.20840205284439595,-0.20840205284439595
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,37,3.14414789298227,2.8766056333232313,0.2675422596590389,-0.2675422596590389
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,11,3.2928911542907464,3.025219575739384,0.26767157855136237,-0.26767157855136237
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,18,3.2156493316824264,2.8779237453320596,0.33772558635036676,-0.33772558635036676
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,28,2.7827242350099874,2.4347111528373864,0.3480130821726011,-0.3480130821726011
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,36,2.7350863222989212,2.3724774437487848,0.36260887855013646,-0.36260887855013646
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,53,2.3870967741935485,2.024164279079336,0.36293249511421255,-0.36293249511421255
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,16,2.809613069149392,2.406583254315001,0.40302981483439115,-0.40302981483439115
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,49,3.440254272923092,3.0296101498875387,0.4106441230355533,-0.4106441230355533
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,61,2.9657501831664757,2.5333682256799315,0.4323819574865442,-0.4323819574865442
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,2,3.6063561250270735,3.1296495978585077,0.47670652716856576,-0.47670652716856576
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,5,2.909100239585122,2.4183355453792794,0.49076469420584257,-0.49076469420584257
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,14,2.819840671424436,2.3133968570270262,0.5064438143974099,-0.5064438143974099
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,33,2.9890974279743703,2.4813299509629125,0.5077674770114577,-0.5077674770114577
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,65,2.7879768249170787,2.1920336119852535,0.5959432129318252,-0.5959432129318252
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,45,3.072434591397889,2.383842861599171,0.6885917297987181,-0.6885917297987181
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,9,3.5470415337347743,2.656850392646816,0.8901911410879584,-0.8901911410879584
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,13,3.3718165315100426,2.458538126323503,0.9132784051865395,-0.9132784051865395
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,3,3.108191877353243,1.313560151238015,1.794631726115228,-1.794631726115228
