target,feature_block,model,quantile,gamma_physio_blend,failure_subjects,rows,locked_failure_rmse,candidate_failure_rmse,lift_vs_locked_failure_rmse,mean_subject_improvement_locked_minus_candidate,median_subject_improvement_locked_minus_candidate,ci95_low_mean_subject_improvement,ci95_high_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_failure_rescue_gate,gamma_is_positive
arousal,eeg_bandpower,physio_eeg_bandpower_ridge,0.75,0.0,16,16,2.4305203050167536,2.4305203050167536,0.0,0.0,0.0,0.0,0.0,1.0,0,0,16,0,,False,False
arousal,eeg_bandpower,physio_eeg_bandpower_ridge,0.75,0.05,16,16,2.4305203050167536,2.4554745005507805,-0.02495419553402689,-0.02196698355738698,-0.01213280189959609,-0.03604377602863228,-0.00955964417832376,0.9988000599970002,4,12,0,-8,0.9893646240234375,False,True
arousal,eeg_bandpower,physio_eeg_bandpower_ridge,0.75,0.1,16,16,2.4305203050167536,2.4817793588357957,-0.051259053819042055,-0.04457149279522485,-0.024449071740756168,-0.07255273140361078,-0.019584683973153848,0.9988500574971252,4,12,0,-8,0.9893646240234375,False,True
arousal,eeg_bandpower,physio_eeg_bandpower_ridge,0.75,0.2,16,16,2.4305203050167536,2.538270945371244,-0.10775064035449056,-0.09158184758174015,-0.05277093000855171,-0.14934014810119098,-0.04103923901280877,0.9991500424978751,4,12,0,-8,0.9893646240234375,False,True
arousal,eeg_bandpower,physio_eeg_bandpower_ridge,0.75,0.35,16,16,2.4305203050167536,2.6320738973980116,-0.20155359238125792,-0.16625218706234307,-0.10225452575378857,-0.2675080683512224,-0.07777299747702243,0.99950002499875,4,12,0,-8,0.9893646240234375,False,True
arousal,eeg_bandpower,physio_eeg_bandpower_ridge,0.75,0.5,16,16,2.4305203050167536,2.735751423393488,-0.3052311183767342,-0.24544800937897715,-0.15968582155644695,-0.3879765709734772,-0.11888824426133811,0.9994000299985001,3,13,0,-10,0.9979095458984375,False,True
arousal,eeg_bandpower,physio_eeg_bandpower_ridge,0.75,0.75,16,16,2.4305203050167536,2.9275976156735415,-0.49707731065678784,-0.3863611245316311,-0.2714292693406295,-0.6011239636749486,-0.19504356791053387,0.9996500174991251,3,13,0,-10,0.9979095458984375,False,True
arousal,eeg_bandpower,physio_eeg_bandpower_ridge,0.75,1.0,16,16,2.4305203050167536,3.1394286233793665,-0.7089083183626128,-0.5370411057757392,-0.3917729395186482,-0.8216396324872377,-0.2840059044820043,0.9998000099995,3,13,0,-10,0.9979095458984375,False,True
valence,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.75,0.0,20,20,2.115952494773989,2.115952494773989,0.0,0.0,0.0,0.0,0.0,1.0,0,0,20,0,,False,False
valence,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.75,0.05,20,20,2.115952494773989,2.1162328659849154,-0.00028037121092649997,-0.002273443314497958,0.00026945837917480286,-0.006288826548392895,0.0013504767039966084,0.8588570571471427,10,10,0,0,0.5880985260009766,False,True
valence,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.75,0.1,20,20,2.115952494773989,2.116757229952179,-0.0008047351781899081,-0.0047393830064705765,0.00045457691102424036,-0.012828193796429316,0.002597428751095145,0.8687065646717664,10,10,0,0,0.5880985260009766,False,True
valence,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.75,0.2,20,20,2.115952494773989,2.1185371271591844,-0.0025846323851954622,-0.010240695782115972,0.0004083389724569564,-0.02668940621606955,0.004178607287258547,0.8836558172091395,10,10,0,0,0.5880985260009766,False,True
valence,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.75,0.35,20,20,2.115952494773989,2.1230296691614368,-0.0070771743874478155,-0.01988635926361616,-0.0006243802954331024,-0.04864099705310061,0.00584146284843816,0.9087545622718864,10,10,0,0,0.5880985260009766,False,True
valence,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.75,0.5,20,20,2.115952494773989,2.129696643665059,-0.013744148891070118,-0.031157596388921804,-0.002803943601627612,-0.07218089892148746,0.006509911381197735,0.9239038048097595,10,10,0,0,0.5880985260009766,False,True
valence,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.75,0.75,20,20,2.115952494773989,2.145582294261468,-0.029629799487479236,-0.053417586893316826,-0.008977003219015955,-0.11701745106354922,0.002832539896119424,0.9452027398630068,10,10,0,0,0.5880985260009766,False,True
valence,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.75,1.0,20,20,2.115952494773989,2.1673174853950536,-0.0513649906210647,-0.07982809170638269,-0.018304341784600497,-0.1654584713648738,-0.0038059326674369613,0.9615519224038798,9,11,0,-2,0.7482776641845703,False,True
