path,relative_path,pattern_id,size_bytes,snippet
/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/README.md,README.md,1,9825,US_LABEL_POLICY_NOTE_END --> ### Windowing فعلی **Main protocol:** | Dataset | Windowing | |---------|-----------| | DEAP | `60s trial → 12 windows × 5s` | | I-DARE | `5s stimulus block → 1 window` | - Overlap در main protocol استفاده نمی‌شود. **Ablation بعدی:** - `4s / 5s / 6s` window - در صورت نیاز، `50%` overlap فقط به‌عنوان ablation --- ## 4. مسیر کلی آزمایش‌ها ### Phase 0 — Data Protoco
/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/chat_handoff_latest.md,docs/chat_handoff_latest.md,1,9970,"rule: ```text label = 1 if score > 5 label = 0 if score < 5 score == 5 is discarded for that task ``` ### Windowing DEAP: ```text 60s trial -> 12 non-overlapping 5s windows ``` I-DARE: ```text one natural 5s STIM window per emotional stimulus ``` ### EMG - Main EMG path is feature-level, not raw waveform. - Raw EMG may be considered later as an ablation. ### Fusion Fusion location remains an experimental question: ```text 1. segment-level EEG-EMG fusion"
/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/dataset_acquisition_plan.md,docs/dataset_acquisition_plan.md,1,13921,ping 5-second windows ``` At 128Hz: ```text 5 seconds = 640 samples 12 windows = 7680 samples ``` Important detail: DEAP preprocessed data has 8064 samples per trial. The audit must verify how these samples correspond to baseline/stimulus duration in the selected official preprocessed archive. The implementation should not blindly use all 8064 samples as 60 seconds. The audit should explicitly determine: ```text - whether the usable stimulus portion is
/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/decision_log.md,docs/decision_log.md,1,16449,rotocol Date: 2026-05-04 Decision: Use 5-second non-overlapping windows as the main segmentation strategy. Reason: - DEAP 60s trials become 12 windows. - I-DARE stimulus blocks are naturally 5s. - Avoids inflated results from overlap in the main protocol. Status: Accepted. --- ## D002 - Keep EMG feature-level in the main model Date: 2026-05-04 Decision: Use window-level EMG feature
/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/handoff_bundle_latest.md,docs/handoff_bundle_latest.md,1,295409,"tasks: binary valence and binary arousal. - Label rule: label = 1 if score > 5 else 0; score == 5 is discarded. - Main DEAP windowing: 60s trial -> 12 non-overlapping 5s windows. - Main I-DARE windowing: one natural 5s stimulus window. - EEG model starts with EEGSegmentClassifier-v1. - EMG will initially be feature-level, not raw waveform. - Fusion location is an experimental question: 1. segment-level EEG-EMG fusion 2. modality-specific s"
/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/idare_baseline_modeling_literature_plan.md,docs/idare_baseline_modeling_literature_plan.md,1,7742,ning question is whether the model should explicitly see BSL and STIM as paired inputs. ## Dataset contrast: I-DARE vs DEAP | Dataset | Stimulus unit | Baseline structure | Modeling implication | |---|---|---|---| | I-DARE | 32 emotional pictures per subject | A dedicated black-screen BSL immediately precedes each picture STIM | Trial-wise paired modeling is mea
/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/joint_cv/existing_analysis_inventory.csv,docs/joint_cv/existing_analysis_inventory.csv,2,369178,". Artifact was later deleted or reverted from a newer history state.,2026-05-13T19:29:39+03:00,Add ROCA label audit and stimulus-only baseline,A,yes,yes DEAP+I-DARE,docs/roca/local_setup_audit_current.txt,9f1fcae25efc34c18ea06ecab3cfb5fb138be84f,model-or-training-result,smoke-or-partial,unspecified,unspecified,unknown,unknown,no,unknown,context-only,Automated historical inve"
/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/next_chat_prompt.md,docs/next_chat_prompt.md,1,6873,"tasks: binary valence and binary arousal. - Label rule: label = 1 if score > 5 else 0; score == 5 is discarded. - Main DEAP windowing: 60s trial -> 12 non-overlapping 5s windows. - Main I-DARE windowing: one natural 5s stimulus window. - EEG model starts with EEGSegmentClassifier-v1. - EMG will initially be feature-level, not raw waveform. - Fusion location is an experimental question: 1. segment-level EEG-EMG fusion 2. modality-specific s"
/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/proposal_v1_1.md,docs/proposal_v1_1.md,1,28574,". Median Frequency ``` Input shape: ```text x_emg_feat: [B, N_emg, F] ``` Default: ```text N_emg = 2 F = 7 ``` For DEAP: ```text 12 windows per trial -> [B, 12, N_emg, 7] ``` For I-DARE: ```text 1 stimulus window -> [B, 1, N_emg, 7] ``` --- ## 6.4 Channel-Shared EMG Encoder To reduce dependence on channel identity, each EMG channel is passed through the same MLP: ```text x_emg_feat: [B, N_emg, 7] shared MLP per chann"
/mnt/HDD/AliWorks/EmotionRecognitionDEAP-I-DARE/docs/roca/deap_stimulus_only_loso_current.json,docs/roca/deap_stimulus_only_loso_current.json,1,5559,"{ ""protocol"": ""DEAP stimulus-only LOSO baseline"", ""deap_dir"": ""/mnt/HDD/AliWorks/DEAP/data_preprocessed_python"", ""label_policy"": ""midpoint_as_low"", ""subjects"": 32, ""stimuli"": 40, ""trials"": 1280, ""models"": [ ""global_mean"", ""stimu"
